id,title,type,DISTRICT_max,GAPA_NAPA_min,Long,Lat
62019,Karkidanda Basic Health Service Center,Basic Health Service Centre,DHADING,Galchi,84.93942,27.77045
64443,Kiranchok Hp,Basic Health Service Centre,DHADING,Gajuri,84.937325,27.747448
66210,Basic Health Service Centre -4,Basic Health Service Centre,DHADING,Gajuri,84.909714,27.728205
66211,Basic Health Service Centre -7,Basic Health Service Centre,DHADING,Gajuri,84.927734,27.76
66212,Basic Health Service Centre -6,Basic Health Service Centre,DHADING,Gajuri,84.916115,27.789682
13782,Goganpani SHP,Health Post,DHADING,Galchi,85.059647,27.78306
13789,Kalleri SHP,Health Post,DHADING,Galchi,84.951431,27.838181
62015,Goganpani Basic Health Service Center (Health Post),Basic Health Service Centre,DHADING,Galchi,85.05972,27.78335
62016,Kalleri Basic Health Service Center (Health Post),Basic Health Service Centre,DHADING,Galchi,84.9541,27.83863
62023,Birtadada  Basic Health Service Center,Basic Health Service Centre,DHADING,Galchi,84.99494,27.76066
62024,Bhotepalang Basic Health Service Center,Basic Health Service Centre,DHADING,Galchi,85.00407,27.78783
14406,Duipipal HP,Health Post,NUWAKOT,Belkotgadhi,85.059509,27.83633
14407,Thap Duipipal SHP,Health Post,NUWAKOT,Belkotgadhi,85.014259,27.81337
14434,Ratmate SHP,Health Post,NUWAKOT,Belkotgadhi,85.067009,27.85087
66535,"Basic Health Service Center, Dadakharka",Basic Health Service Centre,NUWAKOT,Belkotgadhi,85.0884,27.80907
67013,"Basic Health Unit,Darshantaar",Basic Health Service Centre,NUWAKOT,Belkotgadhi,85.05,27.85
14390,Belkot HP,Health Post,NUWAKOT,Belkotgadhi,85.16671,27.837469
14397,Budhasing HP,Health Post,NUWAKOT,Tarkeshwar,85.054588,27.870489
14398,Thap Budhasing SHP,Health Post,NUWAKOT,Tarkeshwar,85.022423,27.876051
14413,Jiling SHP,Health Post,NUWAKOT,Belkotgadhi,85.106247,27.849319
14419,Khadag Bhanjyang HP,Health Post,NUWAKOT,Bidur,85.095268,27.88681
14421,Kumari SHP,Health Post,NUWAKOT,Belkotgadhi,85.141632,27.77634
14424,Madanpur SHP,Health Post,NUWAKOT,Belkotgadhi,85.180511,27.86241
55291,Khadag Bhanjyang Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.0953,27.8868
55328,Kumari Hp_Nuwakot,Basic Health Service Centre,NUWAKOT,Belkotgadhi,85.1416,27.7763
55332,Sukuman Memorial Poly Clinic Kumari_ Nuwakot,Poly Clinic,NUWAKOT,Belkotgadhi,85.1416,27.7763
62174,Jarung Basic Health Service Center,आधारभूत स्वास्थ्य सेवा केन्द्र,NUWAKOT,Bidur,85.097842,27.881564
11041,Panchakanya Community Hospital,Hospital,NUWAKOT,Bidur,85.145943,27.90155
11042,Nuwakot Hospital Pvt Ltd,Hospital,NUWAKOT,Bidur,85.148232,27.921761
14394,Lions Dental Clinic,Dental Clinic,NUWAKOT,Bidur,85.140388,27.9219
14395,Marie Stopes Centre,Other,NUWAKOT,Bidur,85.140823,27.89896
14396,Nuwakot HP,Health Post,NUWAKOT,Bidur,85.166054,27.91721
14400,Charghare SHP,Health Post,NUWAKOT,Bidur,85.11042,27.91349
14410,Gerkhu SHP,Health Post,NUWAKOT,Bidur,85.180748,27.950649
14412,Gorsyang HP,Health Post,NUWAKOT,Tarkeshwar,85.068642,27.89612
14417,Kalyanpur SHP,Health Post,NUWAKOT,Bidur,85.107101,27.93708
14451,Tupche SHP,Health Post,NUWAKOT,Bidur,85.1548,27.97191
55277,Urleni Hp,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55279,Bageswori Hp,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55280,Ganeshthan Hp,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55281,Haldekalika Hp,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55282,Lachyang Hp,Health Post,NUWAKOT,Bidur,85.1661,27.9172
55283,Panchakanya Community Hospital,General Hospital,NUWAKOT,Bidur,85.1661,27.9172
55284,Marie Stopes Centre Bidur Municipality_Nuwakot,,NUWAKOT,Bidur,85.1661,27.9172
55285,Psi Nepal Bidur Municipality_Nuwakot,,NUWAKOT,Bidur,85.1661,27.9172
55286,Community Health Unit Tupche,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55287,Community Health Unit 12,Basic Health Service Centre,NUWAKOT,Bidur,85.135065,27.906108
55288,Charghare Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55289,Gerkhu Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55290,Kalyanpur Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55292,Nuwakot Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55293,Tupche Hp,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55294,Mch Clinic Bidur,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55295,Urban Health Center 6,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55296,Urban Health Center 9,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55297,Community Health Unit 3,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55298,Urban Health Center_ Bidur-5_ Nuwakot,Basic Health Service Centre,NUWAKOT,Bidur,85.1661,27.9172
55299,Trishuli Dental Care Pvt.Ltd._ Nuwakot,Medical Centre,NUWAKOT,Bidur,85.1661,27.9172
55300,"Nuwakot City Hosptial Bidur-3, Nuwakot",General Hospital,NUWAKOT,Bidur,85.1661,27.9172
